productId,productMercantId,merchantId,provinceCnName,mainProductId,isYiHaoDian,cutoffTimeKey,isRuleType,mcSiteKey,categoryId,experoienceProductId,productType,isShengxianProd,newBrandLogoUrl,currProductClass,topCategoryId,yingyangTabSwith,brandID,backCategoryId,storeId,pointSiteKey,lastCategory,onlineCustomUserId,yhdFreshFoodKeyId,isSecondHandProduct,isFbyProd,urlProductId,companyName,detailOldForNewService,brandName,oneKeyGoDomain,threeAreas,hasStockNum,isCanSale,combinePositionKey,product_amount
12057054,13467498,1,上海,12057054,1,1,-1,3,5073,12057054,3,0,http://d6.yihaodianimg.com/N01/M02/28/6D/CgQCr1K37eyAAq1jAABki8RJTWQ603.jpg,5009,5009,1,8632,5073,1,0,牙膏,0,1,0,0,12057054,1号店,0,皓乐齿,,0,308,1,0,1
3376,67150,1,上海,3376,1,1,-1,3,5073,3376,0,0,http://d6.yihaodianimg.com/N04/M03/E1/75/CgQDr1Kxc6eAAeVAAABe-Jvu7jg267.jpg,5009,5009,1,385,5073,1,0,牙膏,0,1,0,0,3376,1号店,0,佳洁士,,0,1895,1,0,1
16628897,19265361,1,上海,16628897,1,1,0,3,5073,16628897,0,0,http://d6.yihaodianimg.com/N04/M03/E1/75/CgQDr1Kxc6eAAeVAAABe-Jvu7jg267.jpg,5009,5009,1,385,5073,1,0,牙膏,0,1,0,0,16628897,1号店,0,佳洁士,,0,3834,1,0,1
16378844,18921911,35943,上海,16378844,0,1,-1,3,5073,16378844,0,0,,5009,5009,0,959913,5073,35943,0,牙膏,0,0,0,0,16378844,好药师健康馆,0,100年,,0,285,1,0,16167
10405085,11763894,1,上海,10405085,1,1,-1,3,5073,10405085,0,0,,5009,5009,1,133,5073,1,0,牙膏,0,1,0,0,10405085,1号店,0,中华,,0,772,1,0,1
8898009,10085254,1,上海,8898009,1,1,6,3,5073,8898009,3,0,http://d6.yihaodianimg.com/N02/M07/28/91/CgQCsFK375yAFEh0AABqW7_DzpM607.jpg,5009,5009,1,142,5073,1,0,牙膏,0,1,0,0,8898009,1号店,0,黑人,,0,703,1,0,1
1801232,1989276,1,上海,1801232,1,1,-1,3,5073,1801232,0,0,http://d6.yihaodianimg.com/N02/M01/0B/B0/CgQCsVKVUoOAJPFBAAATd3B5kaU717.jpg,5009,5009,1,1437,5073,1,0,牙膏,0,1,0,0,1801232,1号店,0,竹盐,,0,412,1,0,1
23398,98054,1,上海,23398,1,1,7,3,5073,23398,0,0,http://d6.yihaodianimg.com/N04/M05/CE/4B/CgQDr1KYS6mAfw5ZAABX0hhA3tc740.jpg,5009,5009,1,932825,5073,1,0,牙膏,0,1,0,0,23398,1号店,0,进口狮王,,0,172,1,0,1
8458565,9626820,25489,上海,8458565,0,1,0,3,5073,8458565,0,0,http://d6.yihaodianimg.com/N02/M08/0B/04/CgQCslKUU6qAUz1fAAAknr0DBdg859.jpg,5009,5009,0,6071,5073,25489,0,牙膏,0,0,0,0,8458565,云南白药旗舰店,0,云南白药,,0,4222,1,0,15087
9594028,10828322,1,上海,9594028,1,1,0,3,5073,9594028,0,0,http://d6.yihaodianimg.com/N04/M00/E7/A5/CgQDrVK37nSABtptAACBwvSzxI0853.jpg,5009,5009,1,912848,5073,1,0,牙膏,0,1,0,0,9594028,1号店,0,舒适达,,0,296,1,0,1
