jd_id,title,info,img_url
650861,萃华金店戒指,商品名称：萃华金店戒指;商品编号：650861;品牌：萃华金店;上架时间：2012-05-25 14:17:03;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：男，女，情侣;圈号：活口,http://img11.360buyimg.com/n1/g5/M02/0A/00/rBEDik_i5g4IAAAAAAFN4UricFoAAB9PwJarqkAAU35452.jpg
650862,萃华金店手镯,商品名称：萃华金店手镯;商品编号：650862;品牌：萃华金店;上架时间：2012-05-25 14:17:07;商品毛重：80.00g;商品产地：中国大陆;类别：手镯;款式：婚庆，其他;材质：黄金,http://img12.360buyimg.com/n1/g5/M01/03/03/rBEDik_YJ5UIAAAAAAEBg-ZemzgAAAm4QOV2fwAAQGb544.jpg
650863,萃华金店黄金项链,商品名称：萃华金店黄金项链;商品编号：650863;品牌：萃华金店;上架时间：2012-05-25 14:17:08;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：项链;款式：其他;材质：黄金;适用人群：女,http://img13.360buyimg.com/n1/g5/M02/0A/00/rBEDik_i5hUIAAAAAACGwphHqmIAAB9QALQGNYAAIba001.jpg
650864,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650864;品牌：萃华金店;上架时间：2012-05-25 14:17:10;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img14.360buyimg.com/n1/g5/M01/02/1A/rBEIDE_VqHgIAAAAAAC61HPq2RAAAAjfgGlissAALrs208.jpg
650865,萃华金店女戒,商品名称：萃华金店女戒;商品编号：650865;品牌：萃华金店;上架时间：2012-05-25 14:17:16;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：女;圈号：活口,http://img10.360buyimg.com/n1/g5/M00/03/03/rBEIDE_YET0IAAAAAAGZRZQmRRQAAAmswETjaQAAZld117.jpg
650866,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650866;品牌：萃华金店;上架时间：2012-05-25 14:17:17;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img11.360buyimg.com/n1/g5/M01/02/1A/rBEIDE_VqHwIAAAAAACb2hlGRnoAAAjfgHWbKUAAJvy335.jpg
650867,萃华金店戒指,商品名称：萃华金店戒指;商品编号：650867;品牌：萃华金店;上架时间：2012-05-25 14:17:18;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：男，女，情侣;圈号：活口,http://img12.360buyimg.com/n1/g5/M02/0A/00/rBEIDE_i5i8IAAAAAAFN4UricFoAAB9QgOShvUAAU35232.jpg
650868,萃华金店手镯,商品名称：萃华金店手镯;商品编号：650868;品牌：萃华金店;上架时间：2012-05-25 14:17:25;商品毛重：80.00g;商品产地：中国大陆;类别：手镯;款式：婚庆，其他;材质：黄金,http://img13.360buyimg.com/n1/g5/M01/03/03/rBEIC0_YJ6QIAAAAAAEnPi2uob8AAAm4QO5_AAAASdW933.jpg
650869,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650869;品牌：萃华金店;上架时间：2012-05-25 14:17:25;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img14.360buyimg.com/n1/g5/M01/02/1A/rBEIDE_VqIEIAAAAAAC61HPq2RAAAAjfgIU7TQAALrs391.jpg
650870,萃华金店黄金项链,商品名称：萃华金店黄金项链;商品编号：650870;品牌：萃华金店;上架时间：2012-05-25 14:17:29;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：项链;款式：其他;材质：黄金;适用人群：女,http://img10.360buyimg.com/n1/g5/M02/0A/00/rBEIDE_i5p4IAAAAAACGwphHqmIAAB9WwAs8xUAAIba468.jpg
